Country,Region,Population,Area_sq_mi,Pop_Density_per_sq_mi,Coastline_coast_area_ratio,Net_migration,Infant_mortality_per_thousand_birth,Literacy,Phones_per_thousand,Arable,Crops,Climate,Birthrate,Deathrate,Agriculture,Industry,Service
Comoros,Africa,690948,2170,318.4,15.67,0,74.93,56.5,24.5,35.87,23.32,2,36.93,8.2,0.4,0.04,0.56
Congo.Dem.Rep.,Africa,62660551,2345410,26.7,0,0,94.69,65.5,0.2,2.96,0.52,2,43.69,13.27,0.55,0.11,0.34
Congo.Repub.ofthe,Africa,3702314,342000,10.8,0.05,-0.17,93.86,83.8,3.7,0.51,0.13,2,42.57,12.93,0.062,0.57,0.369
CookIslands,Oceania,21388,240,89.1,50,,,95,289.9,17.39,13.04,2,21,,0.151,0.096,0.753
CostaRica,NorthAmerica,4075261,51100,79.8,2.52,0.51,9.95,96,340.7,4.41,5.88,2,18.32,4.36,0.088,0.299,0.614
Coted'Ivoire,Africa,17654843,322460,54.8,0.16,-0.07,90.83,50.9,14.6,9.75,13.84,2,35.11,14.84,0.279,0.171,0.55
Croatia,Europe,4494749,56542,79.5,10.32,1.58,6.84,98.5,420.4,26.09,2.27,,9.61,11.48,0.07,0.308,0.622
Cuba,NorthAmerica,11382820,110860,102.7,3.37,-1.58,6.33,97,74.7,33.05,7.6,2,11.89,7.22,0.055,0.261,0.684
Cyprus,Asia,784301,9250,84.8,7.01,0.43,7.18,97.6,,7.79,4.44,3,12.56,7.68,0.037,0.198,0.765
CzechRepublic,Europe,10235455,78866,129.8,0,0.97,3.93,99.9,314.3,39.8,3.05,3,9.02,10.59,0.034,0.393,0.573
Denmark,Europe,5450661,43094,126.5,16.97,2.48,4.56,100,614.6,54.02,0.19,3,11.13,10.36,0.018,0.246,0.735
Djibouti,Africa,486530,23000,21.2,1.37,0,104.13,67.9,22.8,0.04,0,1,39.53,19.31,0.179,0.225,0.596
Dominica,NorthAmerica,68910,754,91.4,19.63,-13.87,14.15,94,304.8,6.67,20,2,15.27,6.73,0.177,0.328,0.495
DominicanRepublic,NorthAmerica,9183984,48730,188.5,2.64,-3.22,32.38,84.7,97.4,22.65,10.33,2,23.22,5.73,0.112,0.306,0.582
EastTimor,Asia,1062777,15007,70.8,4.7,0,47.41,58.6,,4.71,0.67,2,26.99,6.24,0.085,0.231,0.684
Ecuador,SouthAmerica,13547510,283560,47.8,0.79,-8.58,23.66,92.5,125.6,5.85,4.93,2,22.29,4.23,0.07,0.312,0.618
Egypt,Africa,78887007,1001450,78.8,0.24,-0.22,32.59,57.7,131.8,2.87,0.48,1,22.94,5.23,0.149,0.357,0.493
ElSalvador,NorthAmerica,6822378,21040,324.3,1.46,-3.74,25.1,80.2,142.4,31.85,12.07,2,26.61,5.78,0.099,0.302,0.599
EquatorialGuinea,Africa,540109,28051,19.3,1.06,0,85.13,85.7,18.5,4.63,3.57,2,35.59,15.06,0.03,0.906,0.062
Eritrea,Africa,4786994,121320,39.5,1.84,0,74.87,58.6,7.9,4.95,0.03,1.5,34.33,9.6,0.102,0.254,0.643
Estonia,Europe,1324333,45226,29.3,8.39,-3.16,7.87,99.8,333.8,16.04,0.45,3,10.04,13.25,0.04,0.294,0.666
Ethiopia,Africa,74777981,1127127,66.3,0,0,95.32,42.7,8.2,10.71,0.75,2,37.98,14.86,0.475,0.099,0.426
FaroeIslands,Europe,47246,1399,33.8,79.84,1.41,6.24,,503.8,2.14,0,,14.05,8.7,0.27,0.11,0.62
Fiji,Oceania,905949,18270,49.6,6.18,-3.14,12.62,93.7,112.6,10.95,4.65,2,22.55,5.65,0.089,0.135,0.776
Finland,Europe,5231372,338145,15.5,0.37,0.95,3.57,100,405.3,7.19,0.03,3,10.45,9.86,0.028,0.295,0.676
France,Europe,60876136,547030,111.3,0.63,0.66,4.26,99,586.4,33.53,2.07,4,11.99,9.14,0.022,0.214,0.764
FrenchGuiana,SouthAmerica,199509,91000,2.2,0.42,6.27,12.07,83,255.6,0.14,0.05,2,20.46,4.88,0.066,0.156,0.778
FrenchPolynesia,Oceania,274578,4167,65.9,60.6,2.94,8.44,98,194.5,0.82,5.46,2,16.68,4.69,0.031,0.19,0.769
Gabon,Africa,1424906,267667,5.3,0.33,0,53.64,63.2,27.4,1.26,0.66,2,36.16,12.25,0.061,0.592,0.348
Gambia.The,Africa,1641564,11300,145.3,0.71,1.57,72.02,40.1,26.8,25,0.5,2,39.37,12.25,0.308,0.142,0.549
GazaStrip,Asia,1428757,360,3968.8,11.11,1.6,22.93,,244.3,28.95,21.05,3,39.45,3.8,0.03,0.283,0.687
Georgia,Asia,4661473,69700,66.9,0.44,-4.7,18.59,99,146.6,11.44,3.86,3,10.41,9.23,0.172,0.275,0.553
Germany,Europe,82422299,357021,230.9,0.67,2.18,4.16,99,667.9,33.85,0.59,3,8.25,10.62,0.009,0.296,0.695
Ghana,Africa,22409572,239460,93.6,0.23,-0.64,51.43,74.8,14.4,16.26,9.67,2,30.52,9.72,0.366,0.246,0.387
Gibraltar,Europe,27928,7,3989.7,171.43,0,5.13,,877.7,0,0,,10.74,9.31,,,
Greece,Europe,10688058,131940,81,10.37,2.35,5.53,97.5,589.7,21.1,8.78,3,9.68,10.24,0.054,0.213,0.733
Greenland,NorthAmerica,56361,2166086,0,2.04,-8.37,15.82,,448.9,0,0,1,15.93,7.84,,,
Grenada,NorthAmerica,89703,344,260.8,35.17,-13.92,14.62,98,364.5,5.88,29.41,2,22.08,6.88,0.054,0.18,0.766
Guadeloupe,NorthAmerica,452776,1780,254.4,17.19,-0.15,8.6,90,463.8,11.24,3.55,2,15.05,6.09,0.15,0.17,0.68
Guam,Oceania,171019,541,316.1,23.2,0,6.94,99,492,9.09,16.36,2,18.79,4.48,,,
Guatemala,NorthAmerica,12293545,108890,112.9,0.37,-1.67,35.93,70.6,92.1,12.54,5.03,2,29.88,5.2,0.227,0.188,0.585
Guernsey,Europe,65409,78,838.6,64.1,3.84,4.71,,842.4,,,3,8.81,10.01,0.03,0.1,0.87
Guinea,Africa,9690222,245857,39.4,0.13,-3.06,90.37,35.9,2.7,3.63,2.58,2,41.76,15.48,0.237,0.362,0.401
